instance_id,repo,analysis_time,ast_ged,dfg_ged,pdg_ged,cfg_ged,cpg_ged,callgraph_ged,loc_added,loc_deleted,token_distance,cyclomatic_delta,halstead_delta,scope_changes,type_changes,exception_changes
django__django-10097,django/django,0.0003058910369873047,0,0.0,0.0,0.0,0.0,0.0,1,1,1,-1,0,0,0,-1
django__django-10554,django/django,0.00040984153747558594,0,0.0,0.0,0.0,0.0,0.0,6,1,-1,-1,0,0,0,-1
django__django-10880,django/django,0.00019502639770507812,0,0.0,0.0,0.0,0.0,0.0,1,1,-1,-1,0,0,0,-1
django__django-10914,django/django,0.0007529258728027344,0,0.0,0.5,0.5,0.5,0.0,1,1,1,0,0,0,0,0
django__django-10973,django/django,0.0008740425109863281,0,0.5,1.0,0.5,1.5,0.5,4,33,-1,-1,0,0,0,-1
django__django-10999,django/django,0.0010068416595458984,0,0.0,0.0,0.0,0.0,0.0,4,3,4,0,0,0,0,0
django__django-11066,django/django,0.0003027915954589844,0,0.0,0.0,0.0,0.0,0.0,1,1,4,-1,0,0,0,-1
django__django-11087,django/django,0.00045680999755859375,0,0.5,1.0,0.5,1.5,0.5,25,5,-1,-1,0,0,0,-1
django__django-11095,django/django,0.0002110004425048828,0,0.0,0.0,0.0,0.0,0.0,5,1,-1,-1,0,0,0,-1
django__django-11099,django/django,0.0006971359252929688,0,0.0,0.0,0.0,0.0,0.0,2,2,2,-1,0,0,0,-1
django__django-11119,django/django,0.0002028942108154297,0,0.0,0.0,0.0,0.0,0.0,1,1,-1,-1,0,0,0,-1
django__django-11133,django/django,0.0002970695495605469,0,0.0,0.0,0.0,0.0,0.0,1,1,4,-1,0,0,0,-1
django__django-11138,django/django,0.009011983871459961,0,0.0,0.0,0.0,0.0,0.0,2,2,-1,-1,0,0,0,-1
django__django-11141,django/django,0.00020313262939453125,0,0.0,0.0,0.0,0.0,0.0,4,6,-1,-1,0,0,0,-1
django__django-11149,django/django,0.00023674964904785156,0,0.0,0.0,0.0,0.0,0.0,30,26,-1,-1,0,0,0,-1
django__django-11163,django/django,0.0003788471221923828,0,0.0,0.0,0.0,0.0,0.0,1,1,3,-1,0,0,0,-1
django__django-11179,django/django,0.000209808349609375,0,0.0,0.0,0.0,0.0,0.0,1,0,-1,-1,0,0,0,-1
django__django-11206,django/django,0.0003020763397216797,0,0.0,0.0,0.0,0.0,0.0,8,0,35,-1,0,0,0,-1
django__django-11211,django/django,0.0003211498260498047,0,0.0,0.0,0.0,0.0,0.0,4,0,25,-1,0,0,0,-1
django__django-11239,django/django,0.0009248256683349609,0,0.0,0.0,0.0,0.0,0.0,12,0,88,-1,0,0,0,-1
django__django-11265,django/django,0.0002129077911376953,0,0.0,0.0,0.0,0.0,0.0,8,3,-1,-1,0,0,0,-1
django__django-11276,django/django,0.004725933074951172,0,0.5,1.0,0.5,1.5,0.5,5,21,112,-1,0,0,0,-1
django__django-11292,django/django,0.0005679130554199219,0,0.0,0.0,0.0,0.0,0.0,8,3,13,-1,0,0,0,-1
django__django-11299,django/django,0.0002460479736328125,0,0.0,0.0,0.0,0.0,0.0,1,1,2,-1,0,0,0,-1
django__django-11333,django/django,0.006783008575439453,1,0.0,0.5,0.5,0.5,0.0,2,2,3,0,0.0,0,0,0
django__django-11400,django/django,0.002112865447998047,0,0.0,0.0,0.0,0.0,0.0,11,4,49,-1,0,0,0,-1
django__django-11433,django/django,0.00019502639770507812,0,0.0,0.0,0.0,0.0,0.0,5,2,-1,-1,0,0,0,-1
django__django-11451,django/django,0.0003960132598876953,0,0.0,0.0,0.0,0.0,0.0,2,0,10,-1,0,0,0,-1
django__django-11477,django/django,0.00021982192993164062,0,0.0,0.0,0.0,0.0,0.0,1,1,-1,-1,0,0,0,-1
django__django-11490,django/django,0.000293731689453125,0,0.0,0.0,0.0,0.0,0.0,1,0,3,-1,0,0,0,-1
django__django-11532,django/django,0.001859903335571289,0,0.0,0.0,0.0,0.0,0.0,2,5,-1,-1,0,0,0,-1
django__django-11551,django/django,0.00021719932556152344,0,0.0,0.0,0.0,0.0,0.0,21,21,-1,-1,0,0,0,-1
django__django-11555,django/django,0.0003192424774169922,0,0.0,0.0,0.0,0.0,0.0,3,0,19,-1,0,0,0,-1
django__django-11603,django/django,0.0007522106170654297,0,0.5,1.0,0.5,1.5,0.5,2,0,6,-1,0,0,0,-1
django__django-11728,django/django,0.003397703170776367,0,0.0,0.0,0.0,0.0,0.0,12,10,100,-1,0,0,0,-1
django__django-11734,django/django,0.008229970932006836,0,0.0,0.0,0.0,0.0,0.0,0,4,-1,-1,0,0,0,-1
django__django-11740,django/django,0.00025177001953125,0,0.0,0.0,0.0,0.0,0.0,4,1,-1,-1,0,0,0,-1
django__django-11749,django/django,0.00019311904907226562,0,0.0,0.0,0.0,0.0,0.0,9,1,-1,-1,0,0,0,-1
django__django-11790,django/django,0.0005018711090087891,0,0.0,0.0,0.0,0.0,0.0,3,1,22,-1,0,0,0,-1
django__django-11815,django/django,0.0004050731658935547,0,0.0,0.0,0.0,0.0,0.0,4,3,31,-1,0,0,0,-1
django__django-11820,django/django,0.00033783912658691406,0,0.0,0.0,0.0,0.0,0.0,7,1,23,-1,0,0,0,-1
django__django-11848,django/django,0.0006520748138427734,0,0.0,0.0,0.0,0.0,0.0,7,3,32,-1,0,0,0,-1
django__django-11880,django/django,0.00033402442932128906,0,0.0,0.0,0.0,0.0,0.0,1,0,11,-1,0,0,0,-1
django__django-11885,django/django,0.01445913314819336,0,0.0,0.0,0.0,0.0,0.0,3,3,-1,-1,0,0,0,-1
django__django-11951,django/django,0.0007648468017578125,0,0.0,0.0,0.0,0.0,0.0,2,1,15,-1,0,0,0,-1
django__django-11964,django/django,0.0007798671722412109,0,0.5,1.0,0.5,1.5,0.5,7,1,14,-1,0,0,0,-1
django__django-11999,django/django,0.00020313262939453125,0,0.0,0.0,0.0,0.0,0.0,6,2,-1,-1,0,0,0,-1
django__django-12039,django/django,0.0009810924530029297,0,0.0,0.0,0.0,0.0,0.0,9,3,38,-1,0,0,0,-1
django__django-12050,django/django,0.0002510547637939453,0,0.0,0.0,0.0,0.0,0.0,4,15,-1,-1,0,0,0,-1
django__django-12125,django/django,0.00032591819763183594,0,0.0,0.0,0.0,0.0,0.0,1,1,1,-1,0,0,0,-1
django__django-12143,django/django,0.000476837158203125,0,0.0,0.0,0.0,0.0,0.0,3,1,5,-1,0,0,0,-1
django__django-12155,django/django,0.0019061565399169922,0,0.5,1.0,0.5,1.5,0.5,4,16,103,-1,0,0,0,-1
django__django-12193,django/django,0.0004520416259765625,0,0.0,0.0,0.0,0.0,0.0,1,3,11,-1,0,0,0,-1
django__django-12209,django/django,0.0002601146697998047,0,0.0,0.0,0.0,0.0,0.0,1,0,3,-1,0,0,0,-1
django__django-12262,django/django,0.0003218650817871094,0,0.0,0.0,0.0,0.0,0.0,1,1,1,-1,0,0,0,-1
django__django-12273,django/django,0.0001862049102783203,0,0.0,0.0,0.0,0.0,0.0,3,0,-1,-1,0,0,0,-1
django__django-12276,django/django,0.00020003318786621094,0,0.0,0.0,0.0,0.0,0.0,3,3,-1,-1,0,0,0,-1
django__django-12304,django/django,0.0001971721649169922,0,0.0,0.0,0.0,0.0,0.0,1,0,-1,-1,0,0,0,-1
django__django-12308,django/django,0.00020503997802734375,0,0.0,0.0,0.0,0.0,0.0,5,0,-1,-1,0,0,0,-1
django__django-12325,django/django,0.0007879734039306641,0,0.0,0.0,0.0,0.0,0.0,1,1,-1,-1,0,0,0,-1
django__django-12406,django/django,0.0024368762969970703,0,0.0,0.0,0.0,0.0,0.0,1,0,-1,-1,0,0,0,-1
django__django-12419,django/django,0.02048492431640625,0,0.0,0.5,0.5,0.5,0.0,1,1,1,0,0,0,0,0
django__django-12663,django/django,0.0004639625549316406,0,0.0,0.0,0.0,0.0,0.0,2,1,13,-1,0,0,0,-1
django__django-12708,django/django,0.0005040168762207031,0,0.0,0.0,0.0,0.0,0.0,6,1,5,-1,0,0,0,-1
django__django-12713,django/django,0.00021982192993164062,0,0.0,0.0,0.0,0.0,0.0,19,11,-1,-1,0,0,0,-1
django__django-12741,django/django,0.0005338191986083984,0,0.0,0.0,0.0,0.0,0.0,1,1,2,-1,0,0,0,-1
django__django-12754,django/django,0.00021004676818847656,0,0.0,0.0,0.0,0.0,0.0,10,0,-1,-1,0,0,0,-1
django__django-12774,django/django,0.00033926963806152344,0,0.0,0.0,0.0,0.0,0.0,11,1,24,-1,0,0,0,-1
django__django-12858,django/django,0.00020074844360351562,0,0.0,0.0,0.0,0.0,0.0,3,1,-1,-1,0,0,0,-1
django__django-12965,django/django,0.0011050701141357422,0,0.5,1.0,0.5,1.5,0.5,2,0,7,-1,0,0,0,-1
django__django-13012,django/django,0.00033402442932128906,0,0.0,0.0,0.0,0.0,0.0,3,0,21,-1,0,0,0,-1
django__django-13023,django/django,0.000186920166015625,0,0.0,0.0,0.0,0.0,0.0,1,1,-1,-1,0,0,0,-1
django__django-13028,django/django,0.0002961158752441406,0,0.0,0.0,0.0,0.0,0.0,4,1,6,-1,0,0,0,-1
django__django-13033,django/django,0.0004658699035644531,0,0.0,0.0,0.0,0.0,0.0,6,1,7,-1,0,0,0,-1
django__django-13089,django/django,0.00020384788513183594,0,0.0,0.0,0.0,0.0,0.0,6,3,-1,-1,0,0,0,-1
django__django-13109,django/django,0.0001862049102783203,0,0.0,0.0,0.0,0.0,0.0,1,1,-1,-1,0,0,0,-1
django__django-13112,django/django,0.0005831718444824219,0,0.0,0.0,0.0,0.0,0.0,5,1,41,-1,0,0,0,-1
django__django-13121,django/django,0.008912801742553711,0,0.0,0.0,0.0,0.0,0.0,0,6,10,-1,0,0,0,-1
django__django-13128,django/django,0.00026106834411621094,0,0.0,0.0,0.0,0.0,0.0,24,19,-1,-1,0,0,0,-1
django__django-13158,django/django,0.0002079010009765625,0,0.0,0.0,0.0,0.0,0.0,3,0,-1,-1,0,0,0,-1
django__django-13195,django/django,0.0006139278411865234,0,0.0,0.0,0.0,0.0,0.0,5,1,-1,-1,0,0,0,-1
django__django-13212,django/django,0.0005319118499755859,0,0.0,0.0,0.0,0.0,0.0,19,18,-1,-1,0,0,0,-1
django__django-13279,django/django,0.00040602684020996094,0,0.0,0.0,0.0,0.0,0.0,9,0,29,-1,0,0,0,-1
django__django-13297,django/django,0.0011169910430908203,0,0.0,0.0,0.0,0.0,0.0,2,3,13,-1,0,0,0,-1
django__django-13315,django/django,0.0009589195251464844,0,0.5,1.0,0.5,1.5,0.5,10,2,28,-1,0,0,0,-1
django__django-13343,django/django,0.0003750324249267578,0,0.0,0.0,0.0,0.0,0.0,3,1,15,-1,0,0,0,-1
django__django-13344,django/django,0.0030417442321777344,0,0.0,0.0,0.0,0.0,0.0,1,3,11,-1,0,0,0,-1
django__django-13346,django/django,0.0010688304901123047,0,0.0,0.0,0.0,0.0,0.0,25,0,175,-1,0,0,0,-1
django__django-13363,django/django,0.0007560253143310547,0,0.0,0.0,0.0,0.0,0.0,2,2,16,-1,0,0,0,-1
django__django-13401,django/django,0.00119781494140625,0,0.0,0.0,0.0,0.0,0.0,23,3,147,-1,0,0,0,-1
django__django-13406,django/django,0.0002639293670654297,0,0.0,0.0,0.0,0.0,0.0,2,0,10,-1,0,0,0,-1
django__django-13410,django/django,0.00018787384033203125,0,0.0,0.0,0.0,0.0,0.0,7,4,-1,-1,0,0,0,-1
django__django-13417,django/django,0.000186920166015625,0,0.0,0.0,0.0,0.0,0.0,6,1,-1,-1,0,0,0,-1
django__django-13449,django/django,0.00021123886108398438,0,0.0,0.0,0.0,0.0,0.0,11,1,-1,-1,0,0,0,-1
django__django-13512,django/django,0.0009629726409912109,0,0.5,1.0,0.5,1.5,0.5,2,1,-1,-1,0,0,0,-1
django__django-13513,django/django,0.0002570152282714844,0,0.0,0.0,0.0,0.0,0.0,23,21,-1,-1,0,0,0,-1
django__django-13516,django/django,0.0003771781921386719,0,0.0,0.0,0.0,0.0,0.0,4,0,23,-1,0,0,0,-1
django__django-13551,django/django,0.0008413791656494141,0,0.0,0.0,0.0,0.0,0.0,6,4,17,-1,0,0,0,-1
django__django-13568,django/django,0.00019884109497070312,0,0.0,0.0,0.0,0.0,0.0,4,1,-1,-1,0,0,0,-1
django__django-13569,django/django,0.0003502368927001953,0,0.0,0.0,0.0,0.0,0.0,3,0,13,-1,0,0,0,-1
django__django-13590,django/django,0.00020313262939453125,0,0.0,0.0,0.0,0.0,0.0,5,1,-1,-1,0,0,0,-1
django__django-13658,django/django,0.0003292560577392578,0,0.0,0.0,0.0,0.0,0.0,6,1,7,-1,0,0,0,-1
django__django-13670,django/django,0.00018715858459472656,0,0.0,0.0,0.0,0.0,0.0,2,2,-1,-1,0,0,0,-1
django__django-13741,django/django,0.000392913818359375,0,0.0,0.0,0.0,0.0,0.0,1,14,64,-1,0,0,0,-1
django__django-13786,django/django,0.00019598007202148438,0,0.0,0.0,0.0,0.0,0.0,5,1,-1,-1,0,0,0,-1
django__django-13794,django/django,0.00018262863159179688,0,0.0,0.0,0.0,0.0,0.0,6,0,-1,-1,0,0,0,-1
django__django-13807,django/django,0.00020503997802734375,0,0.0,0.0,0.0,0.0,0.0,8,3,-1,-1,0,0,0,-1
django__django-13809,django/django,0.0002651214599609375,0,0.0,0.0,0.0,0.0,0.0,7,2,-1,-1,0,0,0,-1
django__django-13810,django/django,0.0002338886260986328,0,0.0,0.0,0.0,0.0,0.0,4,2,-1,-1,0,0,0,-1
django__django-13820,django/django,0.00020599365234375,0,0.0,0.0,0.0,0.0,0.0,9,5,-1,-1,0,0,0,-1
django__django-13821,django/django,0.006880998611450195,0,0.5,0.5,0.0,0.5,0.0,4,2,3,0,-0.38095238095238093,0,0,0
django__django-13837,django/django,0.0005402565002441406,0,0.0,0.0,0.0,0.0,0.0,5,5,24,-1,0,0,0,-1
django__django-13925,django/django,0.00035190582275390625,0,0.0,0.0,0.0,0.0,0.0,5,0,24,-1,0,0,0,-1
django__django-13933,django/django,0.00019097328186035156,0,0.0,0.0,0.0,0.0,0.0,5,1,-1,-1,0,0,0,-1
django__django-13964,django/django,0.00019407272338867188,0,0.0,0.0,0.0,0.0,0.0,1,1,-1,-1,0,0,0,-1
django__django-14007,django/django,0.00021600723266601562,0,0.0,0.0,0.0,0.0,0.0,15,6,-1,-1,0,0,0,-1
django__django-14011,django/django,0.0014121532440185547,0,0.5,1.0,0.5,1.5,0.5,23,0,115,-1,0,0,0,-1
django__django-14017,django/django,0.00019311904907226562,0,0.0,0.0,0.0,0.0,0.0,1,1,-1,-1,0,0,0,-1
django__django-14034,django/django,0.0017960071563720703,0,0.0,0.0,0.0,0.0,0.0,12,2,71,-1,0,0,0,-1
django__django-14053,django/django,0.00021600723266601562,0,0.0,0.0,0.0,0.0,0.0,15,4,-1,-1,0,0,0,-1
django__django-14089,django/django,0.00028204917907714844,0,0.0,0.0,0.0,0.0,0.0,3,0,13,-1,0,0,0,-1
django__django-14122,django/django,0.0001971721649169922,0,0.0,0.0,0.0,0.0,0.0,6,5,-1,-1,0,0,0,-1
django__django-14140,django/django,0.0008521080017089844,0,0.0,0.0,0.0,0.0,0.0,4,8,57,-1,0,0,0,-1
django__django-14155,django/django,0.0001952648162841797,0,0.0,0.0,0.0,0.0,0.0,10,3,-1,-1,0,0,0,-1
django__django-14170,django/django,0.0034291744232177734,0,0.0,0.0,0.0,0.0,0.0,22,6,62,-1,0,0,0,-1
django__django-14238,django/django,0.00019502639770507812,0,0.0,0.0,0.0,0.0,0.0,1,1,-1,-1,0,0,0,-1
django__django-14311,django/django,0.00046825408935546875,0,0.0,0.0,0.0,0.0,0.0,7,2,39,-1,0,0,0,-1
django__django-14315,django/django,0.0005559921264648438,0,0.0,0.0,0.0,0.0,0.0,1,2,7,-1,0,0,0,-1
django__django-14349,django/django,0.0002071857452392578,0,0.0,0.0,0.0,0.0,0.0,3,0,-1,-1,0,0,0,-1
django__django-14351,django/django,0.00019311904907226562,0,0.0,0.0,0.0,0.0,0.0,9,0,-1,-1,0,0,0,-1
django__django-14373,django/django,0.0001838207244873047,0,0.0,0.0,0.0,0.0,0.0,2,2,-1,-1,0,0,0,-1
django__django-14376,django/django,0.0009138584136962891,0,0.0,0.0,0.0,0.0,0.0,2,2,2,-1,0,0,0,-1
django__django-14404,django/django,0.0006787776947021484,0,0.0,0.0,0.0,0.0,0.0,2,3,16,-1,0,0,0,-1
django__django-14434,django/django,0.00020503997802734375,0,0.0,0.0,0.0,0.0,0.0,4,4,-1,-1,0,0,0,-1
django__django-14493,django/django,0.00018405914306640625,0,0.0,0.0,0.0,0.0,0.0,1,0,-1,-1,0,0,0,-1
django__django-14500,django/django,0.0006439685821533203,0,0.0,0.0,0.0,0.0,0.0,2,3,2,-1,0,0,0,-1
django__django-14534,django/django,0.00027298927307128906,0,0.0,0.0,0.0,0.0,0.0,1,1,10,-1,0,0,0,-1
django__django-14539,django/django,0.0002040863037109375,0,0.0,0.0,0.0,0.0,0.0,3,2,-1,-1,0,0,0,-1
django__django-14559,django/django,0.00023102760314941406,0,0.0,0.0,0.0,0.0,0.0,4,2,-1,-1,0,0,0,-1
django__django-14580,django/django,0.0011839866638183594,0,0.0,0.0,0.0,0.0,0.0,1,1,1,-1,0,0,0,-1
django__django-14608,django/django,0.0002110004425048828,0,0.0,0.0,0.0,0.0,0.0,5,2,1,-1,0,0,0,-1
django__django-14631,django/django,0.0007827281951904297,0,0.5,1.0,0.5,1.5,0.5,18,1,-1,-1,0,0,0,-1
django__django-14672,django/django,0.00025725364685058594,0,0.0,0.0,0.0,0.0,0.0,1,1,3,-1,0,0,0,-1
django__django-14725,django/django,0.0002231597900390625,0,0.0,0.0,0.0,0.0,0.0,10,3,-1,-1,0,0,0,-1
django__django-14752,django/django,0.0004980564117431641,0,0.0,0.0,0.0,0.0,0.0,10,2,38,-1,0,0,0,-1
django__django-14765,django/django,0.00045013427734375,0,0.0,0.0,0.0,0.0,0.0,4,3,18,-1,0,0,0,-1
django__django-14771,django/django,0.0003657341003417969,0,0.0,0.0,0.0,0.0,0.0,5,0,47,-1,0,0,0,-1
django__django-14787,django/django,0.0003170967102050781,0,0.0,0.0,0.0,0.0,0.0,1,1,6,-1,0,0,0,-1
django__django-14792,django/django,0.002298116683959961,13,2.0,2.0,0.0,2.0,0.0,5,2,8,1,0.875,0,0,0
django__django-14855,django/django,0.00019788742065429688,0,0.0,0.0,0.0,0.0,0.0,5,1,-1,-1,0,0,0,-1
django__django-14915,django/django,0.0003199577331542969,0,0.0,0.0,0.0,0.0,0.0,3,0,13,-1,0,0,0,-1
django__django-14999,django/django,0.0006380081176757812,0,0.0,0.0,0.0,0.0,0.0,6,5,22,-1,0,0,0,-1
django__django-15022,django/django,0.00040602684020996094,0,0.0,0.0,0.0,0.0,0.0,3,1,5,-1,0,0,0,-1
django__django-15037,django/django,0.0001983642578125,0,0.0,0.0,0.0,0.0,0.0,6,2,-1,-1,0,0,0,-1
django__django-15098,django/django,0.0002129077911376953,0,0.0,0.0,0.0,0.0,0.0,1,1,1,-1,0,0,0,-1
django__django-15103,django/django,0.007155895233154297,1,0.0,0.0,0.0,0.0,0.0,2,2,3,0,0.0,0,0,0
django__django-15104,django/django,0.00038123130798339844,0,0.0,0.0,0.0,0.0,0.0,1,1,7,-1,0,0,0,-1
django__django-15127,django/django,0.01890707015991211,35,6.5,10.5,4.0,13.5,3.0,11,0,61,3,1.5,0,0,0
django__django-15128,django/django,0.00034308433532714844,0,0.0,0.0,0.0,0.0,0.0,20,8,-1,-1,0,0,0,-1
django__django-15161,django/django,0.0006768703460693359,0,0.0,0.0,0.0,0.0,0.0,6,0,29,-1,0,0,0,-1
django__django-15252,django/django,0.00030994415283203125,0,0.0,0.0,0.0,0.0,0.0,6,2,22,-1,0,0,0,-1
django__django-15268,django/django,0.00037598609924316406,0,0.0,0.0,0.0,0.0,0.0,12,1,28,-1,0,0,0,-1
django__django-15277,django/django,0.0005381107330322266,0,0.0,0.0,0.0,0.0,0.0,2,1,8,-1,0,0,0,-1
django__django-15278,django/django,0.00041484832763671875,0,0.0,0.0,0.0,0.0,0.0,9,4,10,-1,0,0,0,-1
django__django-15280,django/django,0.00040411949157714844,0,0.0,0.0,0.0,0.0,0.0,3,2,11,-1,0,0,0,-1
django__django-15315,django/django,0.0001819133758544922,0,0.0,0.0,0.0,0.0,0.0,1,5,-1,-1,0,0,0,-1
django__django-15368,django/django,0.0021109580993652344,0,0.0,0.0,0.0,0.0,0.0,2,2,4,-1,0,0,0,-1
django__django-15375,django/django,0.00020265579223632812,0,0.0,0.0,0.0,0.0,0.0,3,1,-1,-1,0,0,0,-1
django__django-15380,django/django,0.0005509853363037109,0,0.0,0.0,0.0,0.0,0.0,1,1,1,-1,0,0,0,-1
django__django-15382,django/django,0.0006482601165771484,0,0.0,0.0,0.0,0.0,0.0,12,7,16,-1,0,0,0,-1
django__django-15467,django/django,0.0001919269561767578,0,0.0,0.0,0.0,0.0,0.0,3,1,-1,-1,0,0,0,-1
django__django-15499,django/django,0.00019359588623046875,0,0.0,0.0,0.0,0.0,0.0,13,0,-1,-1,0,0,0,-1
django__django-15503,django/django,0.0005970001220703125,0,0.5,1.0,0.5,1.5,0.5,16,10,-1,-1,0,0,0,-1
django__django-15525,django/django,0.00019621849060058594,0,0.0,0.0,0.0,0.0,0.0,3,1,-1,-1,0,0,0,-1
django__django-15554,django/django,0.005506992340087891,0,0.0,0.0,0.0,0.0,0.0,38,9,79,-1,0,0,0,-1
django__django-15561,django/django,0.0006792545318603516,0,0.0,0.0,0.0,0.0,0.0,2,15,26,-1,0,0,0,-1
django__django-15563,django/django,0.0010249614715576172,0,0.0,0.0,0.0,0.0,0.0,21,2,93,-1,0,0,0,-1
django__django-15569,django/django,0.0002911090850830078,0,0.0,0.0,0.0,0.0,0.0,1,0,5,-1,0,0,0,-1
django__django-15572,django/django,0.0002570152282714844,0,0.0,0.0,0.0,0.0,0.0,2,2,-1,-1,0,0,0,-1
django__django-15629,django/django,0.0010056495666503906,0,0.0,0.0,0.0,0.0,0.0,19,6,-1,-1,0,0,0,-1
django__django-15695,django/django,0.00038313865661621094,0,0.0,0.0,0.0,0.0,0.0,3,0,10,-1,0,0,0,-1
django__django-15731,django/django,0.0008308887481689453,0,0.5,1.0,0.5,1.5,0.5,2,2,23,-1,0,0,0,-1
django__django-15732,django/django,0.00030112266540527344,0,0.0,0.0,0.0,0.0,0.0,27,5,-1,-1,0,0,0,-1
django__django-15741,django/django,0.00018262863159179688,0,0.0,0.0,0.0,0.0,0.0,1,0,-1,-1,0,0,0,-1
django__django-15814,django/django,0.0001857280731201172,0,0.0,0.0,0.0,0.0,0.0,1,0,-1,-1,0,0,0,-1
django__django-15851,django/django,0.0001850128173828125,0,0.0,0.0,0.0,0.0,0.0,1,1,-1,-1,0,0,0,-1
django__django-15863,django/django,0.00018286705017089844,0,0.0,0.0,0.0,0.0,0.0,1,1,-1,-1,0,0,0,-1
django__django-15916,django/django,0.0007288455963134766,0,0.0,0.0,0.0,0.0,0.0,3,10,30,-1,0,0,0,-1
django__django-15930,django/django,0.0004029273986816406,0,0.0,0.0,0.0,0.0,0.0,5,0,18,-1,0,0,0,-1
django__django-15957,django/django,0.0011398792266845703,0,0.5,1.0,0.5,1.5,0.5,26,7,34,-1,0,0,0,-1
django__django-15973,django/django,0.0003230571746826172,0,0.0,0.0,0.0,0.0,0.0,1,1,5,-1,0,0,0,-1
django__django-15987,django/django,0.0003097057342529297,0,0.0,0.0,0.0,0.0,0.0,1,1,5,-1,0,0,0,-1
django__django-16032,django/django,0.0011067390441894531,0,0.0,0.0,0.0,0.0,0.0,1,2,3,-1,0,0,0,-1
django__django-16082,django/django,0.0001800060272216797,0,0.0,0.0,0.0,0.0,0.0,1,0,-1,-1,0,0,0,-1
django__django-16100,django/django,0.0004239082336425781,0,0.0,0.0,0.0,0.0,0.0,11,9,6,-1,0,0,0,-1
django__django-16116,django/django,0.0002110004425048828,0,0.0,0.0,0.0,0.0,0.0,6,3,-1,-1,0,0,0,-1
django__django-16136,django/django,0.00019097328186035156,0,0.0,0.0,0.0,0.0,0.0,10,1,-1,-1,0,0,0,-1
django__django-16139,django/django,0.00026798248291015625,0,0.0,0.0,0.0,0.0,0.0,3,1,3,-1,0,0,0,-1
django__django-16145,django/django,0.0008509159088134766,0,0.0,0.0,0.0,0.0,0.0,8,1,45,-1,0,0,0,-1
